iter	Passed	Remaining
992	4409	40000
993	4413	39989
994	4417	39983
995	4421	39974
996	4426	39967
997	4430	39961
998	4434	39951
999	4438	39943
1000	4441	39931
1001	4446	39928
1002	4450	39921
1003	4454	39913
1004	4458	39906
1005	4462	39896
1006	4467	39895
1007	4472	39898
1008	4476	39888
1009	4480	39882
1010	4484	39874
1011	4488	39862
1012	4492	39855
1013	4496	39848
1014	4500	39842
1015	4505	39837
1016	4509	39831
1017	4513	39821
1018	4517	39813
1019	4521	39806
1020	4525	39796
1021	4530	39794
1022	4534	39788
1023	4538	39782
1024	4542	39777
1025	4547	39772
1026	4551	39764
1027	4555	39757
1028	4559	39752
1029	4565	39755
1030	4569	39752
1031	4573	39744
1032	4577	39734
1033	4581	39728
1034	4585	39720
1035	4590	39716
1036	4594	39713
1037	4598	39704
1038	4602	39694
1039	4606	39688
1040	4610	39682
1041	4615	39677
1042	4619	39668
1043	4623	39660
1044	4627	39656
1045	4631	39649
1046	4636	39645
1047	4640	39636
1048	4645	39638
1049	4650	39642
1050	4656	39651
1051	4661	39649
1052	4667	39654
1053	4671	39650
1054	4675	39643
1055	4679	39637
1056	4684	39633
1057	4688	39626
1058	4693	39622
1059	4697	39617
1060	4701	39614
1061	4706	39611
1062	4711	39607
1063	4715	39599
1064	4719	39597
1065	4725	39605
1066	4731	39614
1067	4736	39611
1068	4740	39602
1069	4744	39593
1070	4748	39589
1071	4752	39581
1072	4756	39571
1073	4760	39564
1074	4764	39556
1075	4768	39547
1076	4772	39540
1077	4775	39527
1078	4780	39521
1079	4784	39516
1080	4788	39509
1081	4793	39508
1082	4797	39498
1083	4801	39494
1084	4806	39495
1085	4810	39486
1086	4814	39475
1087	4818	39467
1088	4822	39463
1089	4827	39457
1090	4832	39460
1091	4837	39462
1092	4841	39456
1093	4845	39448
1094	4850	39444
1095	4854	39435
1096	4858	39432
1097	4864	39436
1098	4868	39432
1099	4872	39424
1100	4877	39419
1101	4881	39412
1102	4885	39410
1103	4890	39403
1104	4895	39406
1105	4900	39407
1106	4905	39407
1107	4909	39400
1108	4913	39393
1109	4917	39385
1110	4921	39377
1111	4926	39374
1112	4930	39370
1113	4935	39367
1114	4939	39363
1115	4943	39356
1116	4947	39347
1117	4951	39338
1118	4956	39335
1119	4960	39326
1120	4964	39320
1121	4968	39315
1122	4973	39310
1123	4977	39305
1124	4981	39295
1125	4984	39286
1126	4990	39289
1127	4995	39286
1128	4999	39279
1129	5003	39274
1130	5007	39264
1131	5011	39257
1132	5015	39252
1133	5019	39240
1134	5023	39233
